"id","name","price","status","url"
26,"中星睿典2017年全国职称计算机考试模块题库软件注册码初级中高级","15.00","734笔","//detail.tmall.com/item.htm?id=533097329809&skuId=4611686551524717713&user_id=2900948213&cat_id=2&is_b=1&rn=53190fe01fba1dc9a51e9c09a0f67f9f"
27,"考试宝典主管护师2017年护理学中级内科外科妇产科儿科练习题题库","168.00","108笔","//detail.tmall.com/item.htm?id=540259944463&skuId=3408320387417&user_id=723535182&cat_id=2&is_b=1&rn=53190fe01fba1dc9a51e9c09a0f67f9f"
28,"未来教育2017全国计算机二级MS Office/C语言考试软件电子题库","20.00","6笔","//detail.tmall.com/item.htm?id=544335408354&skuId=3455279298200&user_id=2680624438&cat_id=2&is_b=1&rn=53190fe01fba1dc9a51e9c09a0f67f9f"
29,"2017全国专业技术人员职称计算机应用能力考试宝典模块真题库软件","10.00","489笔","//detail.tmall.com/item.htm?id=40634296074&skuId=4611686059061683978&user_id=2079936218&cat_id=2&is_b=1&rn=53190fe01fba1dc9a51e9c09a0f67f9f"
30,"2017新版银行从业证券期货基金从业资格考试题库软件真题押题","10.00","1039笔","//detail.tmall.com/item.htm?id=35427118311&skuId=3465324499450&user_id=325408094&cat_id=2&is_b=1&rn=53190fe01fba1dc9a51e9c09a0f67f9f"
31,"嗨考网2017年证券/基金/银行期货从业资格证考试包保题库软件过Z","65.00","503笔","//detail.tmall.com/item.htm?id=544700181780&skuId=4611686563127569684&user_id=2602242167&cat_id=2&is_b=1&rn=53190fe01fba1dc9a51e9c09a0f67f9f"
32,"2017年保荐代表人考试教材题库任选 投资银行业务历年真题答案","120.00","119笔","//detail.tmall.com/item.htm?id=44664832249&skuId=3198255321242&user_id=2433110470&cat_id=2&is_b=1&rn=53190fe01fba1dc9a51e9c09a0f67f9f"
33,"一级注册消防工程师2017课件考试精讲教程押题习题库软件视频","129.00","165笔","//detail.tmall.com/item.htm?id=536536447927&skuId=3459941918243&user_id=2944523978&cat_id=2&is_b=1&rn=53190fe01fba1dc9a51e9c09a0f67f9f"
34,"环球网校2017年心理咨询师二级三级视频课件培训教程题库代报名","1280.00","60笔","//detail.tmall.com/item.htm?id=533003183582&skuId=3180442042801&user_id=2652134295&cat_id=2&is_b=1&rn=53190fe01fba1dc9a51e9c09a0f67f9f"
35,"环球网校 2017年初级中级经济师课件题库在线视频课程 官方渠道","979.00","54笔","//detail.tmall.com/item.htm?id=546661651606&skuId=3305202457550&user_id=1087584114&cat_id=2&is_b=1&rn=53190fe01fba1dc9a51e9c09a0f67f9f"
36,"外科护理学中级职称考试题库2017主管护师军医版历年真题试卷解析","40.00","204笔","//detail.tmall.com/item.htm?id=540187884198&skuId=4611686558615272102&user_id=2780083151&cat_id=2&is_b=1&rn=53190fe01fba1dc9a51e9c09a0f67f9f"
37,"药师在线药考金题库单科 药学 中药学 执业药师 课件 视频","135.00","61笔","//detail.tmall.com/item.htm?id=545072621882&skuId=4611686563500009786&user_id=3089584892&cat_id=2&is_b=1&rn=53190fe01fba1dc9a51e9c09a0f67f9f"
38,"云考点2017会计从业资格证培训班/初级会计职称题库考试课件视频","498.00","71笔","//detail.tmall.com/item.htm?id=532927168989&skuId=3179047968029&user_id=2901481792&cat_id=2&is_b=1&rn=53190fe01fba1dc9a51e9c09a0f67f9f"
